"","Locations","Latitude","Longitude","Timestamp","time","summary","icon","sunriseTime","sunsetTime","moonPhase","nearestStormDistance","nearestStormBearing","precipIntensity","precipIntensityMax","precipIntensityMaxTime","precipProbability","precipType","precipAccumulation","temperature","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperature","apprarentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","dewPoint","windSpeed","windBearing","cloudCover","humidity","pressure","visibility","ozone"
"1","Abhayapuri",26.4,90.633333,"2015-06-29T12:00:00+0530",1435516200,"Foggy overnight.","fog",1435532913,1435582523,0.4,NA,NA,0,0,NA,0,NA,NA,85.66,64,1435541400,92.28,1435573800,NA,NA,1435541400,115.45,1435573800,73.92,1.33,241,0.77,0.79,1006.53,2.66,NA
"2","Abohar",30.166667,74.166667,"2015-06-29T12:00:00+0530",1435516200,"Foggy in the morning.","fog",1435536339,1435587001,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,100.98,76.07,1435599000,102.71,1435570200,NA,NA,1435599000,117.84,1435570200,72.18,4.08,91,0.15,0.58,1000.78,2.17,NA
"3","Abu",24.683333,72.833333,"2015-06-29T12:00:00+0530",1435516200,"Clear throughout the day.","clear-day",1435537413,1435586568,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,92.72,81.89,1435537800,98,1435570200,NA,NA,1435537800,112.78,1435570200,74.91,6.47,219,0.29,0.64,1004.26,2.43,NA
"4","Achalpur",21.366667,77.533333,"2015-06-29T12:00:00+0530",1435516200,"Partly cloudy overnight.","partly-cloudy-night",1435536703,1435585022,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,91.64,81,1435541400,97,1435566600,NA,NA,1435537800,107.02,1435566600,73.65,2.75,312,0.54,0.66,1004.55,3.11,NA
"5","Acher",23.166667,72.533333,"2015-06-29T12:00:00+0530",1435516200,"Clear throughout the day.","clear-day",1435537679,1435586446,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,91,82,1435545000,97,1435584600,NA,NA,1435541400,107.02,1435584600,75.57,7.05,218,0.4,0.67,1005.91,2.61,NA
"6","Adhoi",23.433333,70.533333,"2015-06-29T12:00:00+0530",1435516200,"Partly cloudy throughout the day.","partly-cloudy-day",1435538125,1435586960,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,92.76,82.17,1435537800,97.76,1435570200,NA,NA,1435537800,110.78,1435570200,77.21,6.72,239,0.4,0.71,1004.64,2.5,NA
"7","Adilabad",19.55,78.333333,"2015-06-29T12:00:00+0530",1435516200,"Mostly cloudy overnight.","partly-cloudy-night",1435536730,1435584610,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,91.3,81,1435541400,97,1435566600,NA,NA,1435534200,107.02,1435566600,73.89,2.19,306,0.59,0.67,1004.68,3.07,NA
"8","Adoni",15.55,77.3,"2015-06-29T12:00:00+0530",1435516200,"Mostly cloudy throughout the day.","partly-cloudy-day",1435537443,1435584393,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,89.68,77.44,1435537800,95.46,1435577400,NA,NA,1435537800,98.17,1435577400,69.69,6.04,252,0.7,0.61,1007.6,4.33,NA
"9","Adra",23.5,86.7,"2015-06-29T12:00:00+0530",1435516200,"Foggy throughout the day.","fog",1435534236,1435583088,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,87.6,78.81,1435534200,91.74,1435570200,NA,NA,1435534200,105.23,1435570200,77.84,3.26,170,0.77,0.83,1004.49,1.43,NA
"10","Agar",23.066667,76.033333,"2015-06-29T12:00:00+0530",1435516200,"Partly cloudy throughout the day.","partly-cloudy-day",1435536851,1435585593,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,87,76.25,1435537800,92.27,1435573800,NA,NA,1435537800,98.12,1435573800,70.32,7.98,278,0.52,0.66,1004.39,2.5,NA
"11","Agartala",23.083333,91.383333,"2015-06-29T12:00:00+0530",1435516200,"Mostly cloudy throughout the day.","partly-cloudy-day",1435533165,1435581911,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,86.37,79.24,1435534200,87,1435566600,NA,NA,1435534200,97.98,1435566600,77.15,3.13,166,0.78,0.81,1007.51,3.16,NA
"12","Agori",24.55,82.95,"2015-06-29T12:00:00+0530",1435516200,"Foggy until afternoon and humid throughout the day.","fog",1435535001,1435584123,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,81.32,75,1435555800,93,1435570200,NA,NA,1435555800,103.17,1435570200,73.89,3.89,145,0.77,0.83,1003.47,1.66,NA
"13","Agra",21.283333,77.966667,"2015-06-29T12:00:00+0530",1435516200,"Partly cloudy overnight.","partly-cloudy-night",1435536609,1435584908,0.4,NA,NA,NA,NA,NA,NA,"rain",NA,91.49,81,1435541400,97,1435566600,NA,NA,1435537800,107.02,1435566600,73.84,2.78,313,0.56,0.66,1004.47,3.02,NA
"14","Abhayapuri",26.4,90.633333,"2015-06-26T12:00:00+0530",1435257000,"Mostly cloudy throughout the day.","partly-cloudy-day",1435273661,1435323305,0.31,NA,NA,0,NA,NA,0,NA,NA,89.26,64,1435282200,89.26,1435300200,NA,NA,1435282200,107.87,1435300200,74.53,2.19,67,0.85,0.82,994.16,3.4,NA
"15","Abohar",30.166667,74.166667,"2015-06-26T12:00:00+0530",1435257000,"Clear throughout the day.","clear-day",1435277083,1435327787,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,94.87,78.07,1435275000,98.61,1435318200,NA,NA,1435275000,102.89,1435318200,68.96,2.53,293,0.08,0.54,994.9,3.15,NA
"16","Abu",24.683333,72.833333,"2015-06-26T12:00:00+0530",1435257000,"Foggy in the morning.","fog",1435278161,1435327349,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,88.74,80.84,1435278600,97,1435318200,NA,NA,1435278600,116.36,1435318200,77.18,9.2,217,0.59,0.73,998.01,2.21,NA
"17","Achalpur",21.366667,77.533333,"2015-06-26T12:00:00+0530",1435257000,"Mostly cloudy in the afternoon.","partly-cloudy-day",1435277454,1435325801,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,90,77,1435282200,95.09,1435314600,NA,NA,1435282200,104.17,1435314600,73.02,5.13,292,0.49,0.65,999.65,3.08,NA
"18","Acher",23.166667,72.533333,"2015-06-26T12:00:00+0530",1435257000,"Foggy in the morning.","fog",1435278429,1435327226,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,90,82,1435278600,97,1435318200,NA,NA,1435275000,116.36,1435318200,78.29,10.23,219,0.59,0.75,999.8,2.34,NA
"19","Adhoi",23.433333,70.533333,"2015-06-26T12:00:00+0530",1435257000,"Partly cloudy throughout the day.","partly-cloudy-day",1435278875,1435327740,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,91.93,82.76,1435278600,95.93,1435311000,NA,NA,1435278600,109.13,1435311000,77.83,7.07,241,0.43,0.73,997.8,2.5,NA
"20","Adilabad",19.55,78.333333,"2015-06-26T12:00:00+0530",1435257000,"Mostly cloudy in the afternoon.","partly-cloudy-day",1435277483,1435325388,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,90,77,1435282200,95,1435318200,NA,NA,1435282200,103.84,1435318200,73.1,5.06,289,0.48,0.65,999.73,3.15,NA
"21","Adoni",15.55,77.3,"2015-06-26T12:00:00+0530",1435257000,"Mostly cloudy throughout the day.","partly-cloudy-day",1435278198,1435325168,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,86.21,79.55,1435271400,89.81,1435318200,NA,NA,1435271400,95.68,1435318200,71.3,9.1,252,0.84,0.67,1004.21,3.7,NA
"22","Adra",23.5,86.7,"2015-06-26T12:00:00+0530",1435257000,"Foggy throughout the day.","fog",1435274986,1435323868,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,87.47,75,1435282200,89.53,1435311000,NA,NA,1435282200,100.3,1435311000,76.35,2.39,265,0.89,0.8,994.65,1.44,NA
"23","Agar",23.066667,76.033333,"2015-06-26T12:00:00+0530",1435257000,"Foggy in the morning.","fog",1435277601,1435326373,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,83.75,73.9,1435275000,88.19,1435318200,NA,NA,1435275000,93.89,1435318200,71.14,12.32,263,0.6,0.74,999.38,2.38,NA
"24","Agartala",23.083333,91.383333,"2015-06-26T12:00:00+0530",1435257000,"Foggy starting in the evening.","fog",1435273915,1435322691,0.31,NA,NA,NA,NA,NA,NA,"rain",NA,80.39,76.04,1435278600,81.46,1435311000,NA,NA,1435278600,90.06,1435311000,77.33,2.68,174,0.98,0.95,994.21,2.3,NA
