State,1901,1911,1921,1931,1941,1951,1961,1971,1981,1991,2001,2011
Madurai,1043,1038,1028,1026,1015,1010,997,981,972,964,978,990
Nagapattinam,1110,1104,1082,1085,1055,1050,1026,999,992,993,1014,1025
Namakkal   ,1037,1023,1013,1017,1001,1021,1008,983,969,960,966,986
The Nilgiris,840,868,888,842,858,902,914,944,957,983,1014,1041
Perambalur ,1053,1061,1042,1046,1025,1016,1012,995,999,975,1006,1006
Pudukkottai,1087,1097,1085,1098,1063,1051,1032,1011,1007,1005,1015,1015
Ramanathapuram,1158,1156,1166,1171,1121,1154,1091,1068,1030,1011,1036,977
Salem,1037,1023,1013,1017,1001,989,969,953,939,925,929,954
Ariyalur ,1053,1061,1042,1046,1025,996,995,984,975,975,1006,1016
Chennai ,983,949,913,901,911,922,901,904,934,934,957,986
Coimbatore,1014,1012,992,992,979,977,944,943,946,952,968,1001
Cuddalore,1014,1014,1013,1004,992,1004,982,973,972,967,986,984
Dharmapuri,1016,1014,1003,994,982,987,982,970,959,933,932,946
Dindigul,1049,1048,1039,1036,1025,1014,1002,990,980,976,986,998
Erode,1032,1029,1009,1009,996,994,976,958,949,952,968,992
Kancheepuram,986,994,986,981,970,978,973,956,961,962,975,985
Kanniyakumari,996,990,981,993,992,980,979,972,985,991,1014,1010
Karur ,1053,1061,1042,1046,1025,1022,1012,1005,996,999,1010,1015
Sivaganga,1180,1161,1151,1145,1118,1112,1079,1058,1046,1033,1038,1000
Thanjavur,1110,1104,1082,1085,1055,1016,1005,988,988,996,1021,1031
Theni  ,1043,1038,1028,1026,1015,998,993,989,974,964,978,990
Thiruvallur ,986,994,986,981,970,966,948,940,953,957,971,983
Thiruvarur,1110,1104,1082,1085,1055,1032,1020,996,984,987,1014,1020
Thoothukkudi,1056,1064,1064,1075,1063,1074,1064,1053,1055,1051,1050,1024
Tiruchirappalli,1053,1061,1042,1046,1025,1008,999,978,981,982,1001,1013
Tirunelveli ,1065,1069,1041,1070,1052,1047,1045,1035,1037,1034,1042,1024
Tiruvannamalai,1011,1009,1007,1000,993,1006,993,968,979,983,995,993
Vellore,1035,1033,1019,1006,991,1000,986,973,979,978,997,1004
Viluppuram,1014,1014,1013,1004,992,992,986,967,972,969,984,985
Virudhunagar,1036,1036,1025,1038,1037,1035,1024,1012,1002,994,1012,1009
Krishnagiri,1016,1014,1003,994,982,972,958,968,959,949,944,956
Tiruppur,1050,1048,1027,1027,1014,1012,989,978,966,960,963,988
