Locations,Latitude,Longitude,T,NOW,NOW APPARENT DEG F,NEXT HOUR,NEXT 24 HOURS,NEXT 7 DAYS
Abhayapuri,26.4,90.633333,75.46,Clear,75.46,Clear,Partly cloudy starting tomorrow morning.,"No precipitation throughout the week, with temperatures rising to 98°F on Tuesday."
Abohar,30.166667,74.166667,64.21,Mostly Cloudy,64.21,Mostly Cloudy,Partly cloudy throughout the day.,"Light rain on Sunday through Tuesday, with temperatures rising to 81°F on Sunday."
Abu,24.683333,72.833333,66.33,Clear,66.33,Clear,Clear throughout the day.,"Drizzle on Sunday, with temperatures rising to 83°F on Saturday."
Achalpur,21.366667,77.533333,59.11,Clear,59.11,Clear,Clear throughout the day.,"Light rain on Sunday through Tuesday, with temperatures rising to 84°F on Saturday."
Acher,23.166667,72.533333,68.92,Clear,68.92,Clear,Clear throughout the day.,"No precipitation throughout the week, with temperatures rising to 90°F on Saturday."
Adhoi,23.433333,70.533333,71.42,Clear,71.42,Clear,Clear throughout the day.,"Drizzle on Sunday, with temperatures rising to 85°F on Sunday."
Adilabad,19.55,78.333333,77.04,Clear,77.04,Partly Cloudy,Clear throughout the day.,"No precipitation throughout the week, with temperatures rising to 95°F on Sunday."
Adoni,15.55,77.3,87.87,Partly Cloudy,87.08,Partly Cloudy,Partly cloudy until tomorrow morning.,"No precipitation throughout the week, with temperatures rising to 93°F on Friday."
Adra,23.5,86.7,90.62,Mostly Cloudy,90.54,Mostly Cloudy,Mostly cloudy until tomorrow evening.,"Drizzle today, with temperatures rising to 104°F on Monday."
Agar,23.066667,76.033333,63.16,Clear,63.16,Clear,Clear throughout the day.,"Light rain on Tuesday, with temperatures rising to 87°F on Sunday."
Agartala,23.083333,91.383333,86.96,Clear,91.09,Clear,"Light rain starting tomorrow morning, continuing until tomorrow evening.","Light rain tomorrow, with temperatures rising to 106°F on Tuesday."
Agori,24.55,82.95,69.99,Clear,69.99,Clear,Clear throughout the day.,"No precipitation throughout the week, with temperatures rising to 92°F on Monday."
Agra,21.283333,77.966667,64.4,Clear,64.4,Clear,Clear throughout the day.,"No precipitation throughout the week, with temperatures rising to 86°F on Monday."
